========================================================
Contrast_x,y,z=4  25  100
Get kvals from python.
1.04858e+06  6.5536e+06  2.62144e+07  2.62144e+07  2.62144e+07  2621.44  26214.4  262144  262144  262144  2621.44  16384  65536  65536  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=65,	residual=6.581461e+05,	 rhs=6.715918e+09, relative=9.799794e-05.
  itrIdx=66,	residual=5.013429e+05,	 rhs=6.715918e+09, relative=7.464995e-05.
  itrIdx=67,	residual=3.885196e+05,	 rhs=6.715918e+09, relative=5.785056e-05.
  itrIdx=68,	residual=4.074180e+05,	 rhs=6.715918e+09, relative=6.066453e-05.
  itrIdx=69,	residual=3.875695e+05,	 rhs=6.715918e+09, relative=5.770910e-05.
  itrIdx=70,	residual=3.109097e+05,	 rhs=6.715918e+09, relative=4.629445e-05.
  itrIdx=71,	residual=3.866782e+05,	 rhs=6.715918e+09, relative=5.757637e-05.
  itrIdx=72,	residual=3.893488e+05,	 rhs=6.715918e+09, relative=5.797402e-05.
  itrIdx=73,	residual=3.642091e+05,	 rhs=6.715918e+09, relative=5.423073e-05.
  itrIdx=74,	residual=3.977933e+05,	 rhs=6.715918e+09, relative=5.923141e-05.
  itrIdx=75,	residual=3.742070e+05,	 rhs=6.715918e+09, relative=5.571941e-05.
  itrIdx=76,	residual=2.957954e+05,	 rhs=6.715918e+09, relative=4.404392e-05.
  itrIdx=77,	residual=2.793976e+05,	 rhs=6.715918e+09, relative=4.160230e-05.
  itrIdx=78,	residual=2.803829e+05,	 rhs=6.715918e+09, relative=4.174900e-05.
  itrIdx=79,	residual=2.321524e+05,	 rhs=6.715918e+09, relative=3.456749e-05.
  itrIdx=80,	residual=1.911065e+05,	 rhs=6.715918e+09, relative=2.845576e-05.
  itrIdx=81,	residual=2.162155e+05,	 rhs=6.715918e+09, relative=3.219448e-05.
  itrIdx=82,	residual=1.904431e+05,	 rhs=6.715918e+09, relative=2.835697e-05.
  itrIdx=83,	residual=2.514242e+05,	 rhs=6.715918e+09, relative=3.743706e-05.
  itrIdx=84,	residual=2.806991e+05,	 rhs=6.715918e+09, relative=4.179609e-05.
  itrIdx=85,	residual=2.293888e+05,	 rhs=6.715918e+09, relative=3.415598e-05.
  itrIdx=86,	residual=1.955511e+05,	 rhs=6.715918e+09, relative=2.911756e-05.
  itrIdx=87,	residual=1.624681e+05,	 rhs=6.715918e+09, relative=2.419150e-05.
  itrIdx=88,	residual=1.219635e+05,	 rhs=6.715918e+09, relative=1.816037e-05.
  itrIdx=89,	residual=1.001447e+05,	 rhs=6.715918e+09, relative=1.491155e-05.
  itrIdx=90,	residual=1.403201e+05,	 rhs=6.715918e+09, relative=2.089366e-05.
  itrIdx=91,	residual=1.327668e+05,	 rhs=6.715918e+09, relative=1.976898e-05.
  itrIdx=92,	residual=1.550658e+05,	 rhs=6.715918e+09, relative=2.308929e-05.
  itrIdx=93,	residual=1.622513e+05,	 rhs=6.715918e+09, relative=2.415921e-05.
  itrIdx=94,	residual=1.536221e+05,	 rhs=6.715918e+09, relative=2.287433e-05.
  itrIdx=95,	residual=1.109056e+05,	 rhs=6.715918e+09, relative=1.651384e-05.
  itrIdx=96,	residual=9.251472e+04,	 rhs=6.715918e+09, relative=1.377544e-05.
  itrIdx=97,	residual=8.375153e+04,	 rhs=6.715918e+09, relative=1.247060e-05.
  itrIdx=98,	residual=6.956807e+04,	 rhs=6.715918e+09, relative=1.035868e-05.
  itrIdx=99,	residual=9.201377e+04,	 rhs=6.715918e+09, relative=1.370085e-05.
  itrIdx=100,	residual=1.141037e+05,	 rhs=6.715918e+09, relative=1.699003e-05.
  itrIdx=101,	residual=1.205432e+05,	 rhs=6.715918e+09, relative=1.794888e-05.
  itrIdx=102,	residual=1.153085e+05,	 rhs=6.715918e+09, relative=1.716943e-05.
  itrIdx=103,	residual=8.411884e+04,	 rhs=6.715918e+09, relative=1.252529e-05.
Reach rtol=1.000000e-05, the solver exits with residual=6.402285e+04 and iterations=104.
  homoCoeffZ=7.40932
========================================================
Contrast_x,y,z=8  125  1000
Get kvals from python.
