========================================================
Contrast_x,y,z=100  25  4
Get kvals from python.
2.62144e+07  6.5536e+06  1.04858e+06  1.04858e+06  1.04858e+06  2621.44  26214.4  262144  262144  262144  2621.44  655.36  104.858  104.858  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=65,	residual=5.319306e+04,	 rhs=3.736463e+08, relative=1.423620e-04.
  itrIdx=66,	residual=4.554655e+04,	 rhs=3.736463e+08, relative=1.218975e-04.
  itrIdx=67,	residual=3.844455e+04,	 rhs=3.736463e+08, relative=1.028902e-04.
  itrIdx=68,	residual=5.405162e+04,	 rhs=3.736463e+08, relative=1.446598e-04.
  itrIdx=69,	residual=3.285547e+04,	 rhs=3.736463e+08, relative=8.793199e-05.
  itrIdx=70,	residual=4.079801e+04,	 rhs=3.736463e+08, relative=1.091888e-04.
  itrIdx=71,	residual=4.265049e+04,	 rhs=3.736463e+08, relative=1.141467e-04.
  itrIdx=72,	residual=3.928878e+04,	 rhs=3.736463e+08, relative=1.051496e-04.
  itrIdx=73,	residual=3.297098e+04,	 rhs=3.736463e+08, relative=8.824115e-05.
  itrIdx=74,	residual=3.193978e+04,	 rhs=3.736463e+08, relative=8.548130e-05.
  itrIdx=75,	residual=3.580254e+04,	 rhs=3.736463e+08, relative=9.581933e-05.
  itrIdx=76,	residual=3.814917e+04,	 rhs=3.736463e+08, relative=1.020997e-04.
  itrIdx=77,	residual=1.553669e+04,	 rhs=3.736463e+08, relative=4.158128e-05.
  itrIdx=78,	residual=1.730214e+04,	 rhs=3.736463e+08, relative=4.630620e-05.
  itrIdx=79,	residual=4.320146e+04,	 rhs=3.736463e+08, relative=1.156213e-04.
  itrIdx=80,	residual=2.927339e+04,	 rhs=3.736463e+08, relative=7.834518e-05.
  itrIdx=81,	residual=2.448369e+04,	 rhs=3.736463e+08, relative=6.552636e-05.
  itrIdx=82,	residual=2.025282e+04,	 rhs=3.736463e+08, relative=5.420318e-05.
  itrIdx=83,	residual=2.956929e+04,	 rhs=3.736463e+08, relative=7.913710e-05.
  itrIdx=84,	residual=3.107308e+04,	 rhs=3.736463e+08, relative=8.316175e-05.
  itrIdx=85,	residual=2.595571e+04,	 rhs=3.736463e+08, relative=6.946599e-05.
  itrIdx=86,	residual=1.262536e+04,	 rhs=3.736463e+08, relative=3.378960e-05.
  itrIdx=87,	residual=1.261448e+04,	 rhs=3.736463e+08, relative=3.376048e-05.
  itrIdx=88,	residual=1.155421e+04,	 rhs=3.736463e+08, relative=3.092286e-05.
  itrIdx=89,	residual=2.106291e+04,	 rhs=3.736463e+08, relative=5.637125e-05.
  itrIdx=90,	residual=2.692341e+04,	 rhs=3.736463e+08, relative=7.205587e-05.
  itrIdx=91,	residual=1.330318e+04,	 rhs=3.736463e+08, relative=3.560366e-05.
  itrIdx=92,	residual=8.019789e+03,	 rhs=3.736463e+08, relative=2.146358e-05.
  itrIdx=93,	residual=1.323271e+04,	 rhs=3.736463e+08, relative=3.541507e-05.
  itrIdx=94,	residual=2.010304e+04,	 rhs=3.736463e+08, relative=5.380233e-05.
  itrIdx=95,	residual=1.094800e+04,	 rhs=3.736463e+08, relative=2.930044e-05.
  itrIdx=96,	residual=7.635184e+03,	 rhs=3.736463e+08, relative=2.043425e-05.
  itrIdx=97,	residual=1.246546e+04,	 rhs=3.736463e+08, relative=3.336165e-05.
  itrIdx=98,	residual=1.303993e+04,	 rhs=3.736463e+08, relative=3.489912e-05.
  itrIdx=99,	residual=8.448232e+03,	 rhs=3.736463e+08, relative=2.261024e-05.
  itrIdx=100,	residual=9.607781e+03,	 rhs=3.736463e+08, relative=2.571357e-05.
  itrIdx=101,	residual=1.393840e+04,	 rhs=3.736463e+08, relative=3.730372e-05.
  itrIdx=102,	residual=8.893773e+03,	 rhs=3.736463e+08, relative=2.380265e-05.
  itrIdx=103,	residual=5.619405e+03,	 rhs=3.736463e+08, relative=1.503937e-05.
  itrIdx=104,	residual=8.190957e+03,	 rhs=3.736463e+08, relative=2.192168e-05.
  itrIdx=105,	residual=1.230841e+04,	 rhs=3.736463e+08, relative=3.294134e-05.
  itrIdx=106,	residual=1.050701e+04,	 rhs=3.736463e+08, relative=2.812019e-05.
  itrIdx=107,	residual=1.142576e+04,	 rhs=3.736463e+08, relative=3.057909e-05.
  itrIdx=108,	residual=9.690543e+03,	 rhs=3.736463e+08, relative=2.593507e-05.
  itrIdx=109,	residual=5.157027e+03,	 rhs=3.736463e+08, relative=1.380189e-05.
  itrIdx=110,	residual=3.753138e+03,	 rhs=3.736463e+08, relative=1.004463e-05.
  itrIdx=111,	residual=6.433995e+03,	 rhs=3.736463e+08, relative=1.721948e-05.
  itrIdx=112,	residual=8.091471e+03,	 rhs=3.736463e+08, relative=2.165543e-05.
  itrIdx=113,	residual=8.010107e+03,	 rhs=3.736463e+08, relative=2.143767e-05.
  itrIdx=114,	residual=5.959547e+03,	 rhs=3.736463e+08, relative=1.594970e-05.
  itrIdx=115,	residual=5.913055e+03,	 rhs=3.736463e+08, relative=1.582527e-05.
  itrIdx=116,	residual=4.661686e+03,	 rhs=3.736463e+08, relative=1.247620e-05.
  itrIdx=117,	residual=6.168412e+03,	 rhs=3.736463e+08, relative=1.650869e-05.
  itrIdx=118,	residual=5.069677e+03,	 rhs=3.736463e+08, relative=1.356812e-05.
  itrIdx=119,	residual=3.954687e+03,	 rhs=3.736463e+08, relative=1.058404e-05.
  itrIdx=120,	residual=3.812979e+03,	 rhs=3.736463e+08, relative=1.020478e-05.
  itrIdx=121,	residual=5.684657e+03,	 rhs=3.736463e+08, relative=1.521400e-05.
  itrIdx=122,	residual=5.877118e+03,	 rhs=3.736463e+08, relative=1.572909e-05.
  itrIdx=123,	residual=4.542116e+03,	 rhs=3.736463e+08, relative=1.215619e-05.
Reach rtol=1.000000e-05, the solver exits with residual=2.843282e+03 and iterations=124.
  homoCoeffZ=1.28981
========================================================
Contrast_x,y,z=1000  125  8
Get kvals from python.
2.62144e+08  3.2768e+07  2.09715e+06  2.09715e+06  2.09715e+06  2621.44  26214.4  262144  262144  262144  2621.44  327.68  20.9715  20.9715  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=8.964410e+08,	 rhs=5.964766e+08, relative=1.502894e+00.
  itrIdx=2,	residual=4.627084e+08,	 rhs=5.964766e+08, relative=7.757360e-01.
  itrIdx=3,	residual=5.958252e+08,	 rhs=5.964766e+08, relative=9.989078e-01.
  itrIdx=4,	residual=1.095225e+09,	 rhs=5.964766e+08, relative=1.836158e+00.
  itrIdx=5,	residual=1.953649e+09,	 rhs=5.964766e+08, relative=3.275316e+00.
  itrIdx=6,	residual=9.323923e+08,	 rhs=5.964766e+08, relative=1.563167e+00.
  itrIdx=7,	residual=1.179229e+09,	 rhs=5.964766e+08, relative=1.976990e+00.
  itrIdx=8,	residual=6.398413e+08,	 rhs=5.964766e+08, relative=1.072701e+00.
  itrIdx=9,	residual=2.862353e+08,	 rhs=5.964766e+08, relative=4.798767e-01.
  itrIdx=10,	residual=2.854102e+08,	 rhs=5.964766e+08, relative=4.784936e-01.
  itrIdx=11,	residual=4.051571e+08,	 rhs=5.964766e+08, relative=6.792506e-01.
  itrIdx=12,	residual=4.530219e+08,	 rhs=5.964766e+08, relative=7.594965e-01.
  itrIdx=13,	residual=4.045179e+08,	 rhs=5.964766e+08, relative=6.781790e-01.
  itrIdx=14,	residual=7.404259e+08,	 rhs=5.964766e+08, relative=1.241333e+00.
  itrIdx=15,	residual=2.106272e+08,	 rhs=5.964766e+08, relative=3.531190e-01.
  itrIdx=16,	residual=1.920367e+08,	 rhs=5.964766e+08, relative=3.219517e-01.
  itrIdx=17,	residual=8.271350e+07,	 rhs=5.964766e+08, relative=1.386701e-01.
  itrIdx=18,	residual=6.557100e+07,	 rhs=5.964766e+08, relative=1.099305e-01.
  itrIdx=19,	residual=2.954128e+08,	 rhs=5.964766e+08, relative=4.952630e-01.
  itrIdx=20,	residual=1.155354e+08,	 rhs=5.964766e+08, relative=1.936965e-01.
  itrIdx=21,	residual=1.925839e+08,	 rhs=5.964766e+08, relative=3.228692e-01.
  itrIdx=22,	residual=6.930963e+07,	 rhs=5.964766e+08, relative=1.161984e-01.
  itrIdx=23,	residual=8.540655e+07,	 rhs=5.964766e+08, relative=1.431851e-01.
  itrIdx=24,	residual=1.635741e+08,	 rhs=5.964766e+08, relative=2.742339e-01.
  itrIdx=25,	residual=3.413381e+07,	 rhs=5.964766e+08, relative=5.722574e-02.
  itrIdx=26,	residual=4.856379e+07,	 rhs=5.964766e+08, relative=8.141776e-02.
  itrIdx=27,	residual=4.112186e+07,	 rhs=5.964766e+08, relative=6.894127e-02.
  itrIdx=28,	residual=7.681151e+07,	 rhs=5.964766e+08, relative=1.287754e-01.
  itrIdx=29,	residual=6.720185e+07,	 rhs=5.964766e+08, relative=1.126647e-01.
  itrIdx=30,	residual=8.329004e+06,	 rhs=5.964766e+08, relative=1.396367e-02.
  itrIdx=31,	residual=1.859813e+07,	 rhs=5.964766e+08, relative=3.117999e-02.
  itrIdx=32,	residual=8.529583e+06,	 rhs=5.964766e+08, relative=1.429994e-02.
  itrIdx=33,	residual=1.191176e+07,	 rhs=5.964766e+08, relative=1.997020e-02.
  itrIdx=34,	residual=8.053757e+06,	 rhs=5.964766e+08, relative=1.350222e-02.
  itrIdx=35,	residual=7.269840e+06,	 rhs=5.964766e+08, relative=1.218797e-02.
  itrIdx=36,	residual=2.939278e+07,	 rhs=5.964766e+08, relative=4.927733e-02.
  itrIdx=37,	residual=3.147308e+07,	 rhs=5.964766e+08, relative=5.276498e-02.
  itrIdx=38,	residual=3.488904e+07,	 rhs=5.964766e+08, relative=5.849189e-02.
  itrIdx=39,	residual=3.866731e+07,	 rhs=5.964766e+08, relative=6.482619e-02.
  itrIdx=40,	residual=2.096184e+07,	 rhs=5.964766e+08, relative=3.514278e-02.
  itrIdx=41,	residual=1.055038e+07,	 rhs=5.964766e+08, relative=1.768783e-02.
  itrIdx=42,	residual=3.501912e+06,	 rhs=5.964766e+08, relative=5.870996e-03.
  itrIdx=43,	residual=5.185705e+06,	 rhs=5.964766e+08, relative=8.693895e-03.
  itrIdx=44,	residual=4.406669e+06,	 rhs=5.964766e+08, relative=7.387832e-03.
  itrIdx=45,	residual=4.115830e+06,	 rhs=5.964766e+08, relative=6.900237e-03.
  itrIdx=46,	residual=1.272360e+07,	 rhs=5.964766e+08, relative=2.133126e-02.
  itrIdx=47,	residual=1.228410e+07,	 rhs=5.964766e+08, relative=2.059444e-02.
  itrIdx=48,	residual=4.502490e+06,	 rhs=5.964766e+08, relative=7.548476e-03.
  itrIdx=49,	residual=6.552082e+06,	 rhs=5.964766e+08, relative=1.098464e-02.
  itrIdx=50,	residual=1.012400e+07,	 rhs=5.964766e+08, relative=1.697300e-02.
  itrIdx=51,	residual=5.868562e+06,	 rhs=5.964766e+08, relative=9.838712e-03.
  itrIdx=52,	residual=4.495117e+06,	 rhs=5.964766e+08, relative=7.536116e-03.
  itrIdx=53,	residual=1.914509e+06,	 rhs=5.964766e+08, relative=3.209697e-03.
  itrIdx=54,	residual=6.138721e+06,	 rhs=5.964766e+08, relative=1.029164e-02.
  itrIdx=55,	residual=4.036968e+06,	 rhs=5.964766e+08, relative=6.768024e-03.
  itrIdx=56,	residual=4.345281e+06,	 rhs=5.964766e+08, relative=7.284915e-03.
  itrIdx=57,	residual=7.107745e+06,	 rhs=5.964766e+08, relative=1.191622e-02.
  itrIdx=58,	residual=4.055291e+06,	 rhs=5.964766e+08, relative=6.798742e-03.
  itrIdx=59,	residual=7.856231e+06,	 rhs=5.964766e+08, relative=1.317106e-02.
  itrIdx=60,	residual=9.434399e+06,	 rhs=5.964766e+08, relative=1.581688e-02.
  itrIdx=61,	residual=4.000586e+06,	 rhs=5.964766e+08, relative=6.707029e-03.
  itrIdx=62,	residual=2.048772e+06,	 rhs=5.964766e+08, relative=3.434790e-03.
  itrIdx=63,	residual=1.596200e+06,	 rhs=5.964766e+08, relative=2.676048e-03.
  itrIdx=64,	residual=3.703833e+06,	 rhs=5.964766e+08, relative=6.209518e-03.
  itrIdx=65,	residual=4.150767e+06,	 rhs=5.964766e+08, relative=6.958810e-03.
  itrIdx=66,	residual=4.505874e+06,	 rhs=5.964766e+08, relative=7.554151e-03.
  itrIdx=67,	residual=5.667926e+06,	 rhs=5.964766e+08, relative=9.502343e-03.
  itrIdx=68,	residual=4.711040e+06,	 rhs=5.964766e+08, relative=7.898113e-03.
  itrIdx=69,	residual=2.510262e+06,	 rhs=5.964766e+08, relative=4.208483e-03.
  itrIdx=70,	residual=1.450084e+06,	 rhs=5.964766e+08, relative=2.431082e-03.
  itrIdx=71,	residual=1.704841e+06,	 rhs=5.964766e+08, relative=2.858186e-03.
